gene_name,VDR_score,GR_score,VDR_dominant,承認済,P1止まり,P1→II通過率,pred_prob_A,pred_passrate
ADH5,48.36,80.42,False,0,0,1.0,0.5340917068218632,0.9244959140604423
ELANE,64.17,29.71,True,1,0,1.0,0.5327730079434422,0.9258410691360233
BTK,209.73,65.13,True,6,1,0.955,0.5320099668622851,0.9506058926664528
NAMPT,66.6,88.13,False,0,0,1.0,0.5302033857568639,0.9668091344766957
VEGFA,110.38,11.56,True,7,0,1.0,0.5291858866698923,0.9168965534702049
HRH1,140.89,65.51,True,60,0,1.0,0.5254600179550073,0.9153265174361543
CSF3R,137.23,31.13,True,5,0,1.0,0.5193954052572637,0.9382978648311745
CD19,83.95,15.34,True,8,2,0.875,0.5113035160221047,0.9513211194379625
REN,216.9,21.99,True,1,0,1.0,0.5093836732507432,0.9874181468226285
MADCAM1,277.19,109.23,True,0,0,1.0,0.5068852999538599,0.9124613021442182
FFAR2,142.07,0.0,True,0,0,1.0,0.4949845179732092,0.9942039805486284
