gene,VDR_score,GR_score,VDR_celltypes,GR_celltypes,VDR_base_cells,GR_base_cells,VDR_experiments,GR_experiments,VDR_repro,GR_repro,VDR_dominant,repro_ratio,status
IFNG,0.0,2.58,0,7,0.0,4.0,0.0,5.0,0.0,0.1351351351351351,False,-3.859324912356463,failed
IL22,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,other
NR1H4,2.4,0.0,2,6,2.0,5.0,2.0,6.0,0.2,0.1621621621621621,True,0.2866212261514095,other
SELPLG,7.43,127.73,3,28,3.0,17.0,3.0,19.0,0.3,0.5135135135135135,False,-0.7559585625874288,other
ALDH2,13.55,4.69,3,7,3.0,6.0,3.0,7.0,0.3,0.1891891891891892,True,0.6381288669207552,other
MAPKAPK5,12.14,67.51,3,26,3.0,16.0,3.0,19.0,0.3,0.5135135135135135,False,-0.7559585625874288,other
P2RX7,9.05,13.8,2,13,2.0,11.0,2.0,11.0,0.2,0.2972972972972973,False,-0.5492457504845378,other
FLT3,8.72,45.79,2,5,2.0,5.0,1.0,5.0,0.1,0.1351351351351351,False,-0.3998932937191657,other
FLT1,3.67,190.86,1,14,1.0,11.0,1.0,11.0,0.1,0.2972972972972973,False,-1.4821315546260008,other
TNFSF11,0.0,0.0,0,5,0.0,4.0,0.0,4.0,0.0,0.1081081081081081,False,-3.5620361038716486,other
HTR2A,7.67,0.0,2,3,2.0,2.0,2.0,3.0,0.2,0.081081081081081,True,1.2051660072258517,other
TNFSF13B,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,approved
F10,0.0,0.0,0,2,0.0,1.0,0.0,2.0,0.0,0.054054054054054,False,-2.679289883269309,other
PARP2,28.77,67.4,6,23,5.0,14.0,5.0,17.0,0.5,0.4594594594594595,False,0.1194966688900526,other
LTB4R,157.15,54.63,6,7,5.0,6.0,4.0,6.0,0.4,0.1621621621621621,True,1.251855807990733,other
