gene,disease,category,phase,mol_id,VDR_score,GR_score,VDR_dominant
PDE5A,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1737,22.77,7.56,True
EGFR,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1201577,11.86,370.19,False
BRAF,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL3301612,15.34,42.78,False
ADORA1,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL3545162,0.0,198.31,False
SLC12A1,"Pulmonary Disease, Chronic Obstructive",respiratory,3.0,CHEMBL35,2.43,8.67,False
SNAP25,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1201574,0.0,131.76,False
CXCR2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL2103864,69.42,8.12,True
CXCR1,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL2103864,4.96,0.0,True
P2RY12,"Pulmonary Disease, Chronic Obstructive",respiratory,3.0,CHEMBL1083385,0.0,96.27,False
CYSLTR1,"Rhinitis, Allergic",respiratory,4.0,CHEMBL1200681,14.82,0.0,True
NR3C1,"Rhinitis, Allergic",respiratory,4.0,CHEMBL1161,56.91,9.43,True
NR3C1,"Rhinitis, Allergic",respiratory,4.0,CHEMBL1200500,56.91,9.43,True
NR3C1,"Rhinitis, Allergic",respiratory,4.0,CHEMBL1201014,56.91,9.43,True
HRH1,"Rhinitis, Allergic",respiratory,4.0,CHEMBL3188034,140.89,65.51,True
HRH1,"Rhinitis, Allergic",respiratory,4.0,CHEMBL1200795,140.89,65.51,True
HRH1,"Rhinitis, Allergic",respiratory,4.0,CHEMBL1200809,140.89,65.51,True
NR3C1,"Rhinitis, Allergic",respiratory,4.0,CHEMBL384467,56.91,9.43,True
NR3C1,"Rhinitis, Allergic",respiratory,4.0,CHEMBL635,56.91,9.43,True
HRH1,"Rhinitis, Allergic",respiratory,4.0,CHEMBL1620,140.89,65.51,True
CD86,"Arthritis, Rheumatoid",autoimmune,4.0,CHEMBL1201823,26.86,18.65,True
